三笠,北海道,270,74,141.8978,43.23,Mikasa,Hokkaido
上川,北海道,288,59,142.7656,43.8546,Kamikawa,Hokkaido
上磯,北海道,244,108,140.6331,41.8374,Kamiiso,Hokkaido
下川東,北海道,288,47,142.7656,44.3207,Shimokawahigashi,Hokkaido
下川西,北海道,285,48,142.6303,44.2921,Shimokawanishi,Hokkaido
中富良野,北海道,283,70,142.5245,43.3841,Nakafurano,Hokkaido
中川,北海道,273,39,142.0528,44.6617,Nakagawa,Hokkaido
中標津,北海道,333,66,144.9665,43.5508,Nakashibetsu,Hokkaido
中頓別,北海道,277,32,142.2247,44.9387,Nakatombetsu,Hokkaido
佐呂間,北海道,312,53,143.9455,44.0813,Saroma,Hokkaido
倶知安,北海道,248,81,140.8223,42.95,Kutchan,Hokkaido
共和,北海道,244,80,140.6219,42.9758,Kyowa,Hokkaido
別海東,北海道,336,70,145.1224,43.3978,Bekkai East,Hokkaido
別海西,北海道,329,70,144.8021,43.39,Betsukai west,Hokkaido
北檜山,北海道,231,92,139.9678,42.4851,Kitahiyama,Hokkaido
千歳,北海道,265,82,141.6399,42.888,Chitose,Hokkaido
占冠,北海道,285,78,142.6562,43.0406,Shimukappu,Hokkaido
厚沢部,北海道,238,104,140.3087,41.9856,Assabu,Hokkaido
厚真,北海道,269,88,141.8641,42.6486,Atsuma,Hokkaido
古平,北海道,244,74,140.6228,43.2341,Furubira,Hokkaido
名寄,北海道,280,44,142.4056,44.4376,Nayoro,Hokkaido
和寒,北海道,278,56,142.2834,43.9754,Wassamu,Hokkaido
喜茂別,北海道,251,85,140.9766,42.768,Kimobetsu,Hokkaido
夕張,北海道,272,80,142.0085,42.993,Yubari,Hokkaido
大樹,北海道,296,92,143.152,42.4865,Taiki,Hokkaido
大滝,北海道,253,88,141.0643,42.6476,Otaki,Hokkaido
天塩,北海道,271,33,141.9251,44.8948,Teshio,Hokkaido
女満別,北海道,317,57,144.1913,43.9144,Memanbetsu,Hokkaido
室蘭,北海道,252,94,141.0017,42.4116,Muroran,Hokkaido
富良野,北海道,279,70,142.3409,43.3697,Furano,Hokkaido
