下総,千葉県,232,256,140.0206,35.7966,Shimosa,Chiba prefecture
勝浦東,千葉県,238,272,140.3398,35.1714,Katsuura Higashi,Chiba prefecture
匝瑳,千葉県,242,258,140.5046,35.7215,Sosa,Chiba prefecture
千葉,千葉県,236,262,140.2417,35.5458,Chiba,Chiba prefecture
富津,千葉県,229,267,139.8554,35.3445,Futtsu,Chiba prefecture
成田,千葉県,238,255,140.298,35.8307,Narita,Chiba prefecture
蓮沼,千葉県,242,261,140.5107,35.5943,Hasunuma,Chiba prefecture
銚子中,千葉県,248,258,140.823,35.7342,In Choshi,Chiba prefecture
養老,千葉県,235,269,140.1529,35.2867,Yoro,Chiba prefecture
館山西,千葉県,227,277,139.7885,34.9591,Tateyama Nishi,Chiba prefecture
鴨川,千葉県,231,272,139.9649,35.1384,Kamogawa,Chiba prefecture
鴨川南,千葉県,233,274,140.0997,35.0882,Kamogawa South,Chiba prefecture
名栗,埼玉県,214,253,139.1485,35.9118,Naguri,Saitama
小鹿野,埼玉県,210,251,138.9691,36.0274,Ogano,Saitama
岩槻,埼玉県,226,253,139.7349,35.929,Iwatsuki,Saitama
川本,埼玉県,217,248,139.2894,36.1131,Kawamoto,Saitama
所沢,埼玉県,222,256,139.5353,35.8028,Tokorozawa,Saitama
日高,埼玉県,219,254,139.3843,35.899,Hidaka,Saitama
皆野,埼玉県,213,250,139.0993,36.0715,Minano,Saitama
神泉,埼玉県,212,248,139.0504,36.1509,Shinsen,Saitama
都幾川,埼玉県,216,251,139.2191,35.9964,Toki River,Saitama
飯能,埼玉県,217,255,139.2726,35.8637,Hanno,Saitama
八王子,東京都,216,259,139.265,35.6701,Hachioji,Tokyo
府中,東京都,221,260,139.4704,35.6539,Fuchu,Tokyo
檜原南,東京都,214,259,139.1275,35.7017,Hibaraminami,Tokyo
江東,東京都,228,261,139.8125,35.6114,Koto,Tokyo
今市,栃木県,227,234,139.7694,36.7084,Imaichi,Tochigi Prefecture
大田原,栃木県,232,230,140.0225,36.8578,Otawara,Tochigi Prefecture
宇都宮,栃木県,229,238,139.8637,36.5595,Utsunomiya,Tochigi Prefecture
栗山東,栃木県,224,230,139.6459,36.8828,Kuriyama Higashi,Tochigi Prefecture
栗山西,栃木県,220,230,139.4534,36.8817,Kuriyama Nishi,Tochigi Prefecture
氏家,栃木県,231,234,139.9842,36.6959,Ujiie,Tochigi Prefecture
真岡,栃木県,230,240,139.9509,36.4458,Moka,Tochigi Prefecture
矢板,栃木県,228,230,139.8364,36.8625,Sheet pile,Tochigi Prefecture
粟野,栃木県,224,238,139.6154,36.5509,Awano,Tochigi Prefecture
芳賀,栃木県,233,238,140.0751,36.548,Haga,Tochigi Prefecture
藤原2,栃木県,225,227,139.6922,36.9853,Fujiwara 2,Tochigi Prefecture
馬頭,栃木県,235,233,140.1781,36.7342,Bato,Tochigi Prefecture
厚木,神奈川県,218,266,139.3539,35.404,Atsugi,Kanagawa Prefecture
山北中,神奈川県,212,266,139.0436,35.4173,Yamakita,Kanagawa Prefecture
山北南,神奈川県,213,267,139.091,35.3583,Yamakita South,Kanagawa Prefecture
松田,神奈川県,214,267,139.126,35.3663,Matsuda,Kanagawa Prefecture
横浜,神奈川県,222,264,139.5195,35.4991,Yokohama,Kanagawa Prefecture
清川,神奈川県,215,264,139.2146,35.4628,Kiyokawa,Kanagawa Prefecture
葉山,神奈川県,224,269,139.611,35.2624,Hayama,Kanagawa Prefecture
藤野,神奈川県,214,260,139.1283,35.6437,Fujino,Kanagawa Prefecture
みどり,群馬県,218,239,139.3219,36.4931,Green,Gunma Prefecture
下仁田,群馬県,206,245,138.7291,36.2356,Shimonita,Gunma Prefecture
伊勢崎,群馬県,215,244,139.1847,36.3143,Isesaki,Gunma Prefecture
利根,群馬県,215,234,139.2104,36.6998,Tone,Gunma Prefecture
嬬恋,群馬県,201,239,138.5244,36.4917,Tsumagoi,Gunma Prefecture
富岡,群馬県,209,244,138.921,36.2862,Tomioka,Gunma Prefecture
水上2,群馬県,212,230,139.0627,36.862,Water 2,Gunma Prefecture
神流,群馬県,209,248,138.9129,36.144,Kanna,Gunma Prefecture
